"category_name","estimated_delivery_time"
"agro_industry_and_commerce","19.85"
"air_conditioning","22.30"
"art","20.04"
"arts_and_craftmanship","10.25"
"audio","20.47"
"auto","20.70"
"baby","20.82"
"bed_bath_table","21.25"
"books_general_interest","20.51"
"books_imported","16.37"
"books_technical","19.58"
"cds_dvds_musicals","25.07"
"christmas_supplies","24.47"
"cine_photo","19.62"
"computers","21.84"
"computers_accessories","21.95"
"consoles_games","21.31"
"construction_tools_construction","19.82"
"construction_tools_lights","17.55"
"construction_tools_safety","20.73"
"cool_stuff","21.94"
"costruction_tools_garden","22.28"
"costruction_tools_tools","21.65"
"diapers_and_hygiene","18.03"
"drinks","18.89"
"dvds_blu_ray","23.31"
"electronics","21.27"
"fashio_female_clothing","18.52"
"fashion_bags_accessories","21.79"
"fashion_childrens_clothes","22.71"
"fashion_male_clothing","20.45"
"fashion_shoes","24.79"
"fashion_sport","21.62"
"fashion_underwear_beach","20.25"
"fixed_telephony","23.41"
"flowers","20.30"
"food","17.53"
"food_drink","19.60"
"furniture_bedroom","22.06"
"furniture_decor","21.50"
"furniture_living_room","21.74"
"furniture_mattress_and_upholstery","18.71"
"garden_tools","22.48"
"health_beauty","20.79"
"home_appliances","20.81"
"home_appliances_2","21.82"
"home_comfort_2","20.63"
"home_confort","20.48"
"home_construction","20.24"
"housewares","20.11"
"industry_commerce_and_business","20.56"
"kitchen_dining_laundry_garden_furniture","20.32"
"la_cuisine","22.50"
"luggage_accessories","21.25"
"market_place","22.87"
"music","22.32"
"musical_instruments","20.98"
"office_furniture","21.77"
"party_supplies","21.72"
"perfumery","21.19"
"pet_shop","20.50"
"security_and_services","30.50"
"signaling_and_security","20.02"
"small_appliances","21.96"
"small_appliances_home_oven_and_coffee","18.68"
"sports_leisure","21.35"
"stationery","21.66"
"tablets_printing_image","22.27"
"telephony","20.65"
"toys","20.95"
"watches_gifts","21.64"
