"category_name","num_orders_canceled"
"air_conditioning","2"
"art","1"
"audio","1"
"auto","24"
"baby","16"
"bed_bath_table","18"
"books_general_interest","7"
"christmas_supplies","1"
"computers_accessories","35"
"consoles_games","8"
"construction_tools_construction","2"
"construction_tools_lights","1"
"construction_tools_safety","2"
"cool_stuff","15"
"costruction_tools_garden","2"
"diapers_and_hygiene","1"
"drinks","1"
"dvds_blu_ray","2"
"electronics","6"
"fashion_bags_accessories","6"
"fashion_male_clothing","1"
"fashion_shoes","2"
"fixed_telephony","3"
"food","1"
"food_drink","2"
"furniture_decor","24"
"furniture_living_room","2"
"garden_tools","13"
"health_beauty","36"
"home_appliances","2"
"home_appliances_2","3"
"home_construction","1"
"housewares","37"
"kitchen_dining_laundry_garden_furniture","2"
"luggage_accessories","4"
"market_place","1"
"musical_instruments","8"
"office_furniture","1"
"perfumery","14"
"pet_shop","4"
"small_appliances","8"
"sports_leisure","47"
"stationery","12"
"telephony","16"
"toys","31"
"watches_gifts","20"
